Resort,GoogleMapsDirectionsURL
"Oketo Town Minamigaoka Ski Area","https://www.google.com/maps/dir/?api=1&destination=Oketo%20Town%20Minamigaoka%20Ski%20Area%2C%20Hokkaido%2C%20Japan"
"Okoppe Town Ski Area","https://www.google.com/maps/dir/?api=1&destination=Okoppe%20Town%20Ski%20Area%2C%20Hokkaido%2C%20Japan"
"Rubeshibe Town Happōdai Ski Area","https://www.google.com/maps/dir/?api=1&destination=Rubeshibe%20Town%20Happ%C5%8Ddai%20Ski%20Area%2C%20Hokkaido%2C%20Japan"
"Ski Mebius","https://www.google.com/maps/dir/?api=1&destination=Ski%20Mebius%2C%20Hokkaido%2C%20Japan"
"Takinoue Town Sakuragaoka Ski Area","https://www.google.com/maps/dir/?api=1&destination=Takinoue%20Town%20Sakuragaoka%20Ski%20Area%2C%20Hokkaido%2C%20Japan"
"Kanayama Ski Area","https://www.google.com/maps/dir/?api=1&destination=Kanayama%20Ski%20Area%2C%20Hokkaido%2C%20Japan"
"Rausu Town Ski Area","https://www.google.com/maps/dir/?api=1&destination=Rausu%20Town%20Ski%20Area%2C%20Hokkaido%2C%20Japan"
"Akan Kohan Ski Area","https://www.google.com/maps/dir/?api=1&destination=Akan%20Kohan%20Ski%20Area%2C%20Hokkaido%2C%20Japan"
"Akan Royal Valley Ski Area","https://www.google.com/maps/dir/?api=1&destination=Akan%20Royal%20Valley%20Ski%20Area%2C%20Hokkaido%2C%20Japan"
"Birao Ski Area","https://www.google.com/maps/dir/?api=1&destination=Birao%20Ski%20Area%2C%20Hokkaido%2C%20Japan"
"Chūrui Village Shiroganedai Ski Area","https://www.google.com/maps/dir/?api=1&destination=Ch%C5%ABrui%20Village%20Shiroganedai%20Ski%20Area%2C%20Hokkaido%2C%20Japan"
"Memuro Ski Area","https://www.google.com/maps/dir/?api=1&destination=Memuro%20Ski%20Area%2C%20Hokkaido%2C%20Japan"
"Nisshō Ski Area","https://www.google.com/maps/dir/?api=1&destination=Nissh%C5%8D%20Ski%20Area%2C%20Hokkaido%2C%20Japan"
"Nukabira Onsen Ski Area","https://www.google.com/maps/dir/?api=1&destination=Nukabira%20Onsen%20Ski%20Area%2C%20Hokkaido%2C%20Japan"
"Sahoro Resort","https://www.google.com/maps/dir/?api=1&destination=Sahoro%20Resort%2C%20Hokkaido%2C%20Japan"
"Shintokuyama Ski Area","https://www.google.com/maps/dir/?api=1&destination=Shintokuyama%20Ski%20Area%2C%20Hokkaido%2C%20Japan"
"Ashibetsu Ski Area","https://www.google.com/maps/dir/?api=1&destination=Ashibetsu%20Ski%20Area%2C%20Hokkaido%2C%20Japan"
"Bibai Ski Area","https://www.google.com/maps/dir/?api=1&destination=Bibai%20Ski%20Area%2C%20Hokkaido%2C%20Japan"
"Fukagawa Ski Area","https://www.google.com/maps/dir/?api=1&destination=Fukagawa%20Ski%20Area%2C%20Hokkaido%2C%20Japan"
"Horotachi Ski Area","https://www.google.com/maps/dir/?api=1&destination=Horotachi%20Ski%20Area%2C%20Hokkaido%2C%20Japan"
"Iwamizawa Haginoyama City Ski Gelände","https://www.google.com/maps/dir/?api=1&destination=Iwamizawa%20Haginoyama%20City%20Ski%20Gel%C3%A4nde%2C%20Hokkaido%2C%20Japan"
"Kamoidake Kokusai Ski Area","https://www.google.com/maps/dir/?api=1&destination=Kamoidake%20Kokusai%20Ski%20Area%2C%20Hokkaido%2C%20Japan"
"Kuriyama Town Ski Area","https://www.google.com/maps/dir/?api=1&destination=Kuriyama%20Town%20Ski%20Area%2C%20Hokkaido%2C%20Japan"
"Mitsui Greenland White Park","https://www.google.com/maps/dir/?api=1&destination=Mitsui%20Greenland%20White%20Park%2C%20Hokkaido%2C%20Japan"
"Mount Akabira Ski Area","https://www.google.com/maps/dir/?api=1&destination=Mount%20Akabira%20Ski%20Area%2C%20Hokkaido%2C%20Japan"
"Mt. Racey","https://www.google.com/maps/dir/?api=1&destination=Mt.%20Racey%2C%20Hokkaido%2C%20Japan"
"Naganuma Ski Area","https://www.google.com/maps/dir/?api=1&destination=Naganuma%20Ski%20Area%2C%20Hokkaido%2C%20Japan"
"Numata Town Takaho Ski Area","https://www.google.com/maps/dir/?api=1&destination=Numata%20Town%20Takaho%20Ski%20Area%2C%20Hokkaido%2C%20Japan"
"Shintotsukawa Town Socchidake Ski Area","https://www.google.com/maps/dir/?api=1&destination=Shintotsukawa%20Town%20Socchidake%20Ski%20Area%2C%20Hokkaido%2C%20Japan"
"Tsukigata Town Ski Area","https://www.google.com/maps/dir/?api=1&destination=Tsukigata%20Town%20Ski%20Area%2C%20Hokkaido%2C%20Japan"
